county_id,year,gas_station_count,gasoline_sales,diesel_sales
15,2023,401,401.0,238.0
16,2023,69,55.0,7.0
17,2023,38,19.0,4.0
18,2023,22,6.0,2.0
19,2023,2115,3039.0,290.0
20,2023,83,69.0,60.0
21,2023,67,91.0,5.0
22,2023,20,7.0,1.0
23,2023,66,37.0,9.0
24,2023,123,120.0,62.0
26,2023,22,6.0,1.0
27,2023,153,157.0,25.0
28,2023,42,47.0,6.0
29,2023,45,34.0,7.0
30,2023,683,1150.0,62.0
31,2023,133,184.0,28.0
32,2023,36,7.0,3.0
33,2023,633,980.0,180.0
34,2023,414,544.0,50.0
36,2023,693,897.0,267.0
37,2023,773,1125.0,107.0
38,2023,94,97.0,6.0
39,2023,266,323.0,144.0
40,2023,112,116.0,22.0
41,2023,201,271.0,14.0
42,2023,131,166.0,19.0
43,2023,411,563.0,45.0
44,2023,84,82.0,7.0
45,2023,131,84.0,22.0
47,2023,48,21.0,18.0
48,2023,156,189.0,27.0
49,2023,159,184.0,32.0
50,2023,208,220.0,72.0
51,2023,40,34.0,5.0
52,2023,44,26.0,31.0
54,2023,240,194.0,78.0
55,2023,30,21.0,4.0
56,2023,211,302.0,37.0
57,2023,95,99.0,35.0
58,2023,50,34.0,5.0
