zip,county_id
92503,33
92504,33
92505,33
92506,33
92507,33
92508,33
92509,33
92513,33
92514,33
92515,33
92516,33
92517,33
92518,33
92519,33
92521,33
92522,33
92530,33
92531,33
92532,33
92536,33
92539,33
92543,33
92544,33
92545,33
92546,33
92548,33
92549,33
92551,33
92552,33
92553,33
92554,33
92555,33
92556,33
92557,33
92561,33
92562,33
92563,33
92564,33
92567,33
92570,33
92571,33
92572,33
92581,33
92582,33
92583,33
92584,33
92585,33
92586,33
92587,33
92589,33
92590,33
92591,33
92592,33
92593,33
92595,33
92596,33
92599,33
92602,30
92603,30
92604,30
92605,30
92606,30
92607,30
92609,30
92610,30
92612,30
92614,30
92615,30
92616,30
92617,30
92618,30
92619,30
92620,30
92623,30
92624,30
92625,30
92626,30
92627,30
92628,30
92629,30
92630,30
92637,30
92646,30
92647,30
92648,30
92649,30
92650,30
92651,30
92652,30
92653,30
92654,30
92655,30
92656,30
92657,30
92658,30
92659,30
92660,30
92661,30
92662,30
92663,30
92672,30
92673,30
92674,30
92675,30
92676,30
92677,30
92678,30
92679,30
92683,30
92684,30
92685,30
92688,30
92690,30
92691,30
92692,30
92693,30
92694,30
92697,30
92698,30
92701,30
92702,30
92703,30
92704,30
92705,30
92706,30
92707,30
92708,30
92709,30
92710,30
92711,30
92712,30
92725,30
92728,30
92735,30
92780,30
92781,30
92782,30
92799,30
92801,30
92802,30
92803,30
92804,30
92805,30
92806,30
92807,30
92808,30
92809,30
92811,30
92812,30
92814,30
92815,30
92816,30
92817,30
92821,30
92822,30
92823,30
92825,30
92831,30
92832,30
92833,30
92834,30
92835,30
92836,30
92837,30
92838,30
92840,30
92841,30
92842,30
92843,30
92844,30
92845,30
92846,30
92850,30
92856,30
92857,30
92859,30
92860,33
92861,30
92862,30
92863,30
92864,30
92865,30
92866,30
92867,30
92868,30
92869,30
92870,30
92871,30
92877,33
92878,33
92879,33
92880,33
92881,33
92882,33
92883,33
92885,30
92886,30
92887,30
92899,30
93001,56
93002,56
93003,56
93004,56
93005,56
93006,56
93007,56
93009,56
93010,56
93011,56
93012,56
93013,42
93014,42
93015,56
93016,56
93020,56
93021,56
93022,56
93023,56
93024,56
93030,56
93031,56
93032,56
93033,56
93034,56
93035,56
93036,56
93040,56
93041,56
93042,56
93043,56
93044,56
93060,56
93061,56
93062,56
93063,56
93064,56
93065,56
93066,56
93067,42
93093,56
93094,56
93099,56
93101,42
93102,42
93103,42
93105,42
93106,42
93107,42
93108,42
93109,42
93110,42
93111,42
93116,42
93117,42
93118,42
93120,42
93121,42
93130,42
93140,42
93150,42
93160,42
93190,42
93199,42
93201,54
93202,16
93203,15
93204,16
93205,15
93206,15
93207,54
93208,54
93210,10
93212,16
93215,15
93216,15
93218,54
93219,54
93220,15
93221,54
93222,15
93223,54
93224,15
93225,15
93226,15
93227,54
93230,16
93232,16
93234,10
93235,54
93237,54
93238,15
93239,16
93240,15
93241,15
93242,10
93243,15
93244,54
93245,16
93246,16
93247,54
93249,15
93250,15
93251,15
93252,15
93254,42
93255,15
93256,54
93257,54
93258,54
93260,54
93261,54
93262,54
93263,15
93265,54
93266,16
93267,54
93268,15
93270,54
93271,54
93272,54
93274,54
93275,54
93276,15
93277,54
93278,54
93279,54
93280,15
93282,54
93283,15
93285,15
93286,54
93287,15
93290,54
93291,54
93292,54
93301,15
93302,15
93303,15
93304,15
93305,15
93306,15
93307,15
93308,15
93309,15
93311,15
93312,15
93313,15
93314,15
93380,15
93381,15
93382,15
93383,15
93384,15
93385,15
93386,15
93387,15
93388,15
93389,15
93390,15
93401,40
93402,40
93403,40
93405,40
93406,40
93407,40
93408,40
93409,40
93410,40
93412,40
93420,40
93421,40
93422,40
93423,40
93424,40
93426,27
93427,42
93428,40
93429,42
93430,40
93432,40
93433,40
93434,42
93435,40
93436,42
93437,42
93438,42
93440,42
93441,42
93442,40
93443,40
93444,40
93445,40
93446,40
93447,40
93448,40
93449,40
93450,27
93451,40
93452,40
93453,40
93454,42
93455,42
93456,42
93457,42
93458,42
93460,42
93461,40
93463,42
93464,42
93465,40
93475,40
93483,40
93501,15
93502,15
93504,15
93505,15
93510,19
93512,26
93513,14
93514,14
93515,14
93516,15
93517,26
93518,15
93519,15
93522,14
93523,15
93524,15
93526,14
93527,15
93528,15
93529,26
93530,14
93531,15
93532,19
93534,19
93535,19
93536,19
93539,19
93541,26
93542,14
93543,19
93544,19
93545,14
93546,26
93549,14
93550,19
93551,19
93552,19
93553,19
93554,15
93555,15
93556,15
93558,36
93560,15
93561,15
93562,36
93563,19
93581,15
93584,19
93586,19
93590,19
93591,19
93592,14
93596,15
93599,19
93601,20
93602,10
93603,54
93604,20
93605,10
93606,10
93607,10
93608,10
93609,10
93610,20
93611,10
93612,10
93613,10
93614,20
93615,54
93616,10
93618,54
93619,10
93620,24
93621,10
93622,10
93623,22
93624,10
93625,10
93626,10
93627,10
93628,10
93630,10
93631,10
93633,54
93634,10
93635,24
93636,20
93637,20
93638,20
93639,20
93640,10
93641,10
93642,10
93643,20
93644,20
93645,20
93646,10
93647,54
93648,10
93649,10
93650,10
93651,10
93652,10
93653,20
93654,10
93656,10
93657,10
93660,10
93661,24
93662,10
93664,10
93665,24
93666,54
93667,10
93668,10
93669,20
93670,54
93673,54
93675,10
93701,10
93702,10
93703,10
93704,10
93705,10
93706,10
93707,10
93708,10
93709,10
93710,10
93711,10
93712,10
93714,10
93715,10
93716,10
93717,10
93718,10
93720,10
93721,10
93722,10
93723,10
93724,10
93725,10
93726,10
93727,10
93728,10
93729,10
93730,10
93737,10
93740,10
93741,10
93744,10
93745,10
93747,10
93750,10
93755,10
93760,10
93761,10
93764,10
93765,10
93771,10
93772,10
93773,10
93774,10
93775,10
93776,10
93777,10
93778,10
93779,10
93780,10
93784,10
93786,10
93790,10
93791,10
93792,10
93793,10
93794,10
93844,10
93888,10
93901,27
93902,27
93905,27
93906,27
93907,27
93908,27
93912,27
93915,27
93920,27
93921,27
93922,27
93923,27
93924,27
93925,27
93926,27
93927,27
93928,27
93930,27
93932,27
93933,27
93940,27
93942,27
93943,27
93944,27
93950,27
93953,27
93954,27
93955,27
93960,27
93962,27
94002,41
94005,41
94010,41
94011,41
94013,41
94014,41
94015,41
94016,41
94017,41
94018,41
94019,41
94020,41
94021,41
94022,43
94023,43
94024,43
94025,41
94026,41
94027,41
94028,41
94030,41
94035,43
94037,41
94038,41
94039,43
94040,43
94041,43
94042,43
94043,43
94044,41
94060,41
94061,41
94062,41
94063,41
94064,41
94065,41
94066,41
94070,41
94074,41
94080,41
94083,41
94085,43
94086,43
94087,43
94088,43
94089,43
94101,38
94102,38
94103,38
94104,38
94105,38
94106,38
94107,38
94108,38
94109,38
94110,38
94111,38
94112,38
94114,38
94115,38
94116,38
94117,38
94118,38
94119,38
94120,38
94121,38
94122,38
94123,38
94124,38
94125,38
94126,38
94127,38
94128,41
94129,38
94130,38
94131,38
94132,38
94133,38
94134,38
94135,38
94136,38
94137,38
94138,38
94139,38
94140,38
94141,38
94142,38
94143,38
94144,38
94145,38
94146,38
94147,38
94150,38
94151,38
94152,38
94153,38
94154,38
94155,38
94156,38
94158,38
94159,38
94160,38
94161,38
94162,38
94163,38
94164,38
94171,38
94172,38
94175,38
94177,38
94188,38
94199,38
94203,34
94204,34
94205,34
94206,34
94207,34
94208,34
94209,34
94211,34
94229,34
94230,34
94232,34
94234,34
94235,34
94236,34
94237,34
94239,34
94240,34
94244,34
94245,34
94246,34
94247,34
94248,34
94249,34
94250,34
94252,34
94254,34
94256,34
94257,34
94258,34
94259,34
94261,34
94262,34
94263,34
94267,34
94268,34
94269,34
94271,34
94273,34
94274,34
94277,34
94278,34
94279,34
94280,34
94282,34
94283,34
94284,34
94285,34
94286,34
94287,34
94288,34
94289,34
94290,34
94291,34
94293,34
94294,34
94295,34
94296,34
94297,34
94298,34
94299,34
94301,43
94302,43
94303,41
94304,43
94305,43
94306,43
94309,43
94401,41
94402,41
94403,41
94404,41
94497,41
94501,1
94502,1
94503,28
94505,7
94506,7
94507,7
94508,28
94509,7
94510,48
94511,7
94512,48
94513,7
94514,7
94515,28
94516,7
94517,7
94518,7
94519,7
94520,7
94521,7
94522,7
94523,7
94524,7
94525,7
94526,7
94527,7
94528,7
94529,7
94530,7
94531,7
94533,48
94534,48
94535,48
94536,1
94537,1
94538,1
94539,1
94540,1
94541,1
94542,1
94543,1
94544,1
94545,1
94546,1
94547,7
94548,7
94549,7
94550,1
94551,1
94552,1
94553,7
94555,1
94556,7
94557,1
94558,28
94559,28
94560,1
94561,7
94562,28
94563,7
94564,7
94565,7
94566,1
94567,28
94568,1
94569,7
94570,7
94571,48
94572,7
94573,28
94574,28
94575,7
94576,28
94577,1
94578,1
94579,1
94580,1
94581,28
94582,7
94583,7
94585,48
94586,1
94587,1
94588,1
94589,48
94590,48
94591,48
94592,48
94595,7
94596,7
94597,7
94598,7
94599,28
94601,1
94602,1
94603,1
94604,1
94605,1
94606,1
94607,1
94608,1
94609,1
94610,1
94611,1
94612,1
94613,1
94614,1
94615,1
94617,1
94618,1
94619,1
94620,1
94621,1
94622,1
94623,1
94624,1
94625,1
94649,1
94659,1
94660,1
94661,1
94662,1
94666,1
94701,1
94702,1
94703,1
94704,1
94705,1
94706,1
94707,1
